DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/09/2016,9:30,BRONX,10458,40.8642556,-73.8881227,"(40.8642556, -73.8881227)",WEBSTER AVENUE                  ,EAST 195 STREET                 ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459224,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,19:40,BROOKLYN,11235,40.5900705,-73.9566354,"(40.5900705, -73.9566354)",                                ,                                ,2481 EAST 13 STREET                     ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459235,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,19:17,,,40.5851653,-73.9564056,"(40.5851653, -73.9564056)",                                ,                                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459237,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,17:00,BROOKLYN,11204,40.62051,-73.9924679,"(40.62051, -73.9924679)",65 STREET                       ,17 AVENUE                       ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459246,SMALL COM VEH(4 TIRES) ,VAN,,,
06/09/2016,21:15,BROOKLYN,11204,40.6138389,-73.9814363,"(40.6138389, -73.9814363)",65 STREET                       ,BAY PARKWAY                     ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459247,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,22:20,BROOKLYN,11223,40.6037489,-73.9808341,"(40.6037489, -73.9808341)",                                ,                                ,1789 WEST 8 STREET                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,Unspecified,Unspecified,3459248,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE
06/09/2016,12:10,BROOKLYN,11234,40.6256522,-73.9305234,"(40.6256522, -73.9305234)",AVENUE K                        ,SCHENECTADY AVENUE              ,                                        ,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3459256,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,14:30,BROOKLYN,11234,40.6185937,-73.9424176,"(40.6185937, -73.9424176)",KINGS HIGHWAY                   ,NEW YORK AVENUE                 ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459263,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,18:30,BROOKLYN,11234,40.6082027,-73.9207095,"(40.6082027, -73.9207095)",FLATBUSH AVENUE                 ,AVENUE V                        ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459264,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,18:50,BROOKLYN,11234,40.6243339,-73.9132046,"(40.6243339, -73.9132046)",AVENUE M                        ,EAST 70 STREET                  ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3459265,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/09/2016,12:33,BROOKLYN,11204,40.6167067,-73.9784531,"(40.6167067, -73.9784531)",BAY PARKWAY                     ,60 STREET                       ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459279,PASSENGER VEHICLE,,,,
06/09/2016,15:35,BROOKLYN,11203,40.6605938,-73.9313269,"(40.6605938, -73.9313269)",UTICA AVENUE                    ,RUTLAND ROAD                    ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459309,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,17:20,BROOKLYN,11212,40.6633128,-73.9210513,"(40.6633128, -73.9210513)",EAST 98 STREET                  ,WINTHROP STREET                 ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3459311,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/09/2016,18:12,BROOKLYN,11210,40.6391425,-73.939665,"(40.6391425, -73.939665)",FOSTER AVENUE                   ,EAST 39 STREET                  ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,,,3459312,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
